,feature,impact,risk_score,correlation,risk_correlation
62,KeySchedule_label9.unr.full,0.0,0.0,,
64,KeySchedule_label9.pipe.off,0.0,0.0,,
69,AddRoundKey_InversMixColumn_label2.unr.factor,0.0,0.0,,
70,AddRoundKey_InversMixColumn_label2.unr.full,0.0,0.0,,
72,AddRoundKey_InversMixColumn_label2.pipe.off,0.0,0.0,,
76,AddRoundKey_InversMixColumn_label0.unr.factor,0.0,0.0,,
77,AddRoundKey_InversMixColumn_label0.unr.full,0.0,0.0,,
79,AddRoundKey_InversMixColumn_label0.pipe.off,0.0,0.0,,
83,AddRoundKey_InversMixColumn_label1.unr.factor,0.0,0.0,,
84,AddRoundKey_InversMixColumn_label1.unr.full,0.0,0.0,,
85,AddRoundKey_InversMixColumn_label1.pipe,0.0,0.0,,
86,AddRoundKey_InversMixColumn_label1.pipe.off,0.0,0.0,,
87,AddRoundKey_InversMixColumn_label1.lf,0.0,0.0,,
90,AddRoundKey_InversMixColumn_label3.unr.factor,0.0,0.0,,
91,AddRoundKey_InversMixColumn_label3.unr.full,0.0,0.0,,
93,AddRoundKey_InversMixColumn_label3.pipe.off,0.0,0.0,,
98,encrypt_label1.unr.factor,0.0,0.0,,
99,encrypt_label1.unr.full,0.0,0.0,,
