,feature,impact,risk_score,correlation,risk_correlation
50,adpcm_main_label12.unr.factor,0.08086396390745867,0.0415197019702855,-0.7113242069786546,-0.029533969078003416
49,adpcm_main_label12.unr,0.09445322170903382,0.09596876777531577,-0.7190164075697182,-0.06900311864470007
3,filtez_label8.unr.full,0.0,0.0,,
5,filtez_label8.pipe.off,0.0,0.0,,
11,quantl_label9.unr.full,0.0,0.0,,
13,quantl_label9.pipe.off,0.0,0.0,,
19,encode_label0.unr.full,0.0,0.0,,
21,encode_label0.pipe.off,0.0,0.0,,
26,encode_label1.unr.full,0.0,0.0,,
28,encode_label1.pipe.off,0.0,0.0,,
34,upzero_label11.unr.full,0.0,0.0,,
36,upzero_label11.pipe.off,0.0,0.0,,
41,upzero_label10.unr.full,0.0,0.0,,
43,upzero_label10.pipe.off,0.0,0.0,,
51,adpcm_main_label12.unr.full,0.0,0.0,,
53,adpcm_main_label12.pipe.off,0.0,0.0,,
58,adpcm_main_label13.unr.full,0.0,0.0,,
60,adpcm_main_label13.pipe.off,0.0,0.0,,
66,decode_label2.unr.full,0.0,0.0,,
68,decode_label2.pipe.off,0.0,0.0,,
73,decode_label3.unr.full,0.0,0.0,,
75,decode_label3.pipe.off,0.0,0.0,,
81,reset_label4.unr.full,0.0,0.0,,
83,reset_label4.pipe.off,0.0,0.0,,
88,reset_label5.unr.full,0.0,0.0,,
90,reset_label5.pipe.off,0.0,0.0,,
95,reset_label6.unr.full,0.0,0.0,,
97,reset_label6.pipe.off,0.0,0.0,,
102,reset_label7.unr.full,0.0,0.0,,
104,reset_label7.pipe.off,0.0,0.0,,
